45.91899037361145
         121232705 function calls (108095604 primitive calls) in 60.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   5114/1    0.128    0.000   63.045   63.045 {built-in method builtins.exec}
        1    0.011    0.011   63.045   63.045 de_bruijn_conversion_timing.py:1(<module>)
        1    0.000    0.000   45.902   45.902 canonicalize_de_bruijn_test.py:255(fit_dsl)
        1    0.000    0.000   45.784   45.784 export_as_dsl.py:125(from_programs_de_bruijn)
        1    0.001    0.001   44.528   44.528 export_as_dsl.py:132(<listcomp>)
      200    0.004    0.000   44.528    0.223 parsed_ast.py:101(to_type_annotated_de_bruijn_ns_s_exp)
      200    0.013    0.000   44.522    0.223 canonicalize_de_bruijn.py:97(canonicalize_de_bruijn)
      526    0.018    0.000   22.261    0.042 __init__.py:1(<module>)
      200    0.115    0.001   14.102    0.071 canonicalize_de_bruijn.py:139(canonicalize_de_bruijn_from_tree_dist)
    63227    0.025    0.000   13.779    0.000 collect_preorder_symbols.py:12(collect_preorder_symbols)
751455/63227    0.933    0.000   13.681    0.000 collect_preorder_symbols.py:27(collect_preorder_symbols_dfs)
      308    0.016    0.000   12.872    0.042 canonicalize_de_bruijn_test.py:468(parse_and_check)
      201    0.196    0.001   12.093    0.060 export_as_dsl.py:210(create_dsl)
      686    0.023    0.000   10.822    0.016 parsed_ast.py:93(to_type_annotated_ns_s_exp)
      686    0.420    0.001   10.318    0.015 export_as_dsl.py:258(add_disambiguating_type_tags)
93148/85247    0.142    0.000   10.198    0.000 functools.py:981(__get__)
    63027    1.131    0.000    9.914    0.000 preorder_mask.py:67(compute_mask)
      200    0.000    0.000    9.702    0.049 tree_distribution.py:118(tree_distribution_skeleton)
      200    8.373    0.042    9.702    0.049 bigram.py:346(compute_tree_distribution)
      202    0.011    0.000    8.423    0.042 dsl_factory.py:176(finalize)
   596334    0.714    0.000    5.816    0.000 type_string_repr.py:137(parse_type)
1687453/803    2.378    0.000    5.653    0.007 copy.py:128(deepcopy)
239045/803    0.607    0.000    5.638    0.007 copy.py:227(_deepcopy_dict)
241968/2370    0.238    0.000    5.622    0.002 copy.py:201(_deepcopy_list)
238585/1240    0.593    0.000    5.610    0.005 copy.py:259(_reconstruct)
  4152/10    0.022    0.000    5.308    0.531 <frozen importlib._bootstrap>:1165(_find_and_load)
  4096/10    0.019    0.000    5.308    0.531 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  3925/14    0.015    0.000    5.306    0.379 <frozen importlib._bootstrap>:666(_load_unlocked)
  3667/14    0.008    0.000    5.306    0.379 <frozen importlib._bootstrap_external>:934(exec_module)
  9090/25    0.005    0.000    5.305    0.212 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   420369    0.447    0.000    4.811    0.000 export_as_dsl.py:179(is_sequence)
    63027    0.112    0.000    4.562    0.000 type_preorder_mask.py:24(compute_mask)
      402    0.104    0.000    4.433    0.011 dsl_factory.py:299(prune)
   878424    0.674    0.000    4.343    0.000 dsl.py:66(productions_for_type)
    63027    0.452    0.000    4.232    0.000 type_preorder_mask.py:25(<setcomp>)
   420369    0.377    0.000    4.176    0.000 export_as_dsl.py:166(is_sequence_type)
      200    0.002    0.000    3.849    0.019 export_as_dsl.py:31(from_program)
    63027    0.117    0.000    3.829    0.000 mask.py:73(compute_mask)
        1    0.000    0.000    3.264    3.264 classify_nodes.py:1(<module>)
      402    0.120    0.000    3.238    0.008 dsl.py:171(constructible_symbols)
